id,name_of,last_name,gender,activing,ip_address
1,El Plumerillo Airport,Mendoza,SA,,AR-M
2,Huallaga Airport,Bellavista,SA,,PE-SAM
3,F. D. Roosevelt Airport,Sint Eustatius,NA,,BQ-U-A
4,Benalla Airport,,OC,,AU-VIC
5,Lianshui Airport,Huai'an,AS,,CN-32
6,Erandique Airport,Erandique,NA,,HN-LE
7,San Diego International Airport,San Diego,NA,,US-CA
8,Gordon Downs Airport,Gordon Downs,OC,,AU-WA
9,Casement Airport,Plainesville,NA,,US-OH
10,Muan International Airport,Piseo-ri (Muan),AS,,KR-46
11,Sibiu International Airport,Sibiu,EU,,RO-SB
12,Reno Tahoe International Airport,Reno,NA,,US-NV
13,Turaif Domestic Airport,Turaif,AS,,SA-08
14,Akita Airport,Akita,AS,,JP-05
15,Lague Airport,Lague,AF,,CG-14
16,Agra Airport,,AS,,IN-UP
17,Keetmanshoop Airport,Keetmanshoop,AF,,NA-KA
18,Mayor Buenaventura Vivas International Airport,Santo Domingo,SA,,VE-S
19,Tamale Airport,Tamale,AF,,GH-NP
20,Imphal Airport,Imphal,AS,,IN-MN
